לֶאֱבוֹד,le'ev(o)d
לִזְחוֹל,lizH(o)l
לְהָזִיד,lehaz(i)d
לְהִזְדַּייֵּן,lehizday(e)n
לְזַייֵּן,lezay(e)n
לְזַייֵּף,lezay(e)f
לִזְכּוֹת,lizk(o)t
לְזַכּוֹת,lezak(o)t
לִזְכּוֹר,lizk(o)R
לְהַזְכִּיר,lehazk(i)R
לְהִיזָּכֵר,lehizaH(e)R
לִזְלוֹג,lizl(o)g
לְזַלְזֵל,lezalz(e)l
לִזְלוֹל,lizl(o)l
לְהַזְלִיף,lehazl(i)f
לְזַמְזֵם,lezamz(e)m
לְהָזִים,lehaz(i)m
לִזְמוֹם,lizm(o)m
לְזַמֵּן,lezam(e)n
לְהַזְמִין,lehazm(i)n
לְהִזְדַּמֵּן,lehizdam(e)n
לְזַמֵּר,lezam(e)R
לִזְמוֹר,lizm(o)R
לְזַנֵּב,lezan(e)v
לְהִזְדַּנֵּב,lehizdan(e)v
לִזְנוֹחַ,lizn(o)aH
לְהַזְנִיחַ,lehazn(i)aH
לִזְנוֹת,lizn(o)t
לְזַנּוֹת,lezan(o)t
לְזַנֵּק,lezan(e)k
לְהַזְנִיק,lehazn(i)k
לְזַעְזֵעַ,leza'az(e)a
לְהִזְדַּעְזֵעַ,lehizda'az(e)a
לִזְעוֹם,liz'(o)m
לְהִיזָּעֵם,lehiza'(e)m
לִזְעוֹף,liz'(o)f
לְהַזְעִיף,lehaz'(i)f
לְהַזְעִיק,lehaz'(i)k
לִזְעוֹק,liz'(o)k
לְהִזְדַּעֵק,lehizda'(e)k
לְזַעֵר,leza'(e)R
לְזַפֵּת,lezap(e)t
לְהִזְדַּקֵּן,lehizdak(e)n
לְהַזְקִין,lehazk(i)n
זָקֵן,zak(e)n
לְהִיזָּקֵף,lehizak(e)f
לְהִזְדַּקֵּף,lehizdak(e)f
לִזְקוֹף,lizk(o)f
לְזַקֵּק,lezak(e)k
לְהִיזָּקֵק,lehizak(e)k
לְהִזְדַּקֵּק,lehizdak(e)k
לְהַזְקִיק,lehazk(i)k
לְהִזְדַּקֵּר,lehizdak(e)R
לְזַרְגֵּג,lezaRg(e)g
לְזָרֵז,lezaR(e)z
לְהִזְדָּרֵז,lehizdaR(e)z
לְזַרְזֵף,lezaRz(e)f
לִזְרוֹחַ,lizR(o)aH
לִזְרוֹת,lizR(o)t
לְהִיזָּרוֹת,lehizaR(o)t
לְהַזְרִים,lehazR(i)m
לִזְרוֹם,lizR(o)m
לִזְרוֹעַ,lizR(o)a
לְהִיזָּרֵעַ,lehizaR(e)a
לִזְרוֹק,lizR(o)k
לְהִיזָּרֵק,lehizaR(e)k
לְהַזְרִיק,lehazR(i)k
לְהֵיחָבֵא,leheHav(e)
לְהִתְחַבֵּא,lehitHab(e)
לְהַחְבִּיא,lehaHb(i)
לְחַבֵּב,leHab(e)v
לַחְבּוֹב,laHb(o)v
לְהִתְחַבֵּב,lehitHab(e)v
לַחְבּוֹט,laHb(o)t
לְהֵיחָבֵט,leheHav(e)t
לְהִתְחַבֵּט,lehitHab(e)t
לְחַבֵּל,leHab(e)l
לְהֵיחָבֵל,leheHav(e)l
לַחְבּוֹל,laHb(o)l
לְחַבֵּק,leHab(e)k
לַחְבּוֹק,laHb(o)k
לְהִתְחַבֵּק,lehitHab(e)k
לְהַחְבִּיר,lehaHb(i)R
לְחַבֵּר,leHab(e)R
לְהִתְחַבֵּר,lehitHab(e)R
לַחֲבוֹר,laHav(o)R
לְהֵיחָבֵשׁ,leheHav(e)x
לַחְבּוֹשׁ,laHb(o)x
לָחוֹג,laH(o)g
לְהֵיחָגֵג,leheHag(e)g
לַחְגּוֹר,laHg(o)R
לְחַדֵּד,leHad(e)d
לַחְדּוֹל,laHd(o)l
לְהַחְדִּיר,lehaHd(i)R
לַחְדּוֹר,laHd(o)R
לְחַדֵּשׁ,leHad(e)x
לְהִתְחַדֵּשׁ,lehitHad(e)x
לָחוּב,laH(u)v
לָחוּג,laH(u)g
לָחוּד,laH(u)d
לְחַווֵּט,leHav(e)t
לְהַחֲווֹת,lehaHav(o)t
לַחֲווֹת,laHav(o)t
לְחַוּוֹת,leHav(o)t
לָחוּל,laH(u)l
לְהִתְחוֹלֵל,lehitHol(e)l
לְהָחִיל,lehaH(i)l
לְחוֹלֵל,leHol(e)l
לָחוּס,laH(u)s
לְהִתְחַווֵּר,lehitHav(e)R
לְהַחֲווִיר,lehaHav(i)R
לָחוּשׁ,laH(u)x
לְהָחִישׁ,lehaH(i)x
לַחֲזוֹת,laHaz(o)t
לְהִתְחַזּוֹת,lehitHaz(o)t
לְחַזֵּק,leHaz(e)k
לְהִתְחַזֵּק,lehitHaz(e)k
לְהַחְזִיק,lehaHz(i)k
לַחֲזוֹק,laHaz(o)k
לַחֲזוֹר,laHaz(o)R
לְחַזֵּר,leHaz(e)R
לְהַחֲזִיר,lehaHaz(i)R
לְהַחֲטִיא,lehaHat(i)
לַחֲטוֹא,laHat(o)
לְחַטֵּא,leHat(e)
לְהִתְחַטֵּא,lehitHat(e)
לַחְטוֹב,laHt(o)v
לְהֵיחָטֵב,leheHat(e)v
לְחַטֵּט,leHat(e)t
לְהֵיחָטֵף,leheHat(e)f
לְהַחְטִיף,lehaHt(i)f
לַחְטוֹף,laHt(o)f
לְהִתְחַייֵּב,lehitHay(e)v
לְחַייֵּב,leHay(e)v
לְחַייֵּג,leHay(e)g
לְחַייֵּט,leHay(e)t
לְהַחֲיוֹת,lehaHay(o)t
לִחְיוֹת,liHy(o)t
לְחַייֵּךְ,leHay(e)H
לְחוֹלֵל,leHol(e)l
לְהִתְחוֹלֵל,lehitHol(e)l
לְחַייֵּל,leHay(e)l
לְחַכּוֹת,leHak(o)t
לְחַכֵּךְ,leHak(e)H
לְהִתְחַכֵּךְ,lehitHak(e)H
לְהִתְחַכֵּם,lehitHak(e)m
לַחְכּוֹם,laHk(o)m
לְהַחְכִּים,lehaHk(i)m
לְהֵיחָכֵר,leheHaH(e)R
לְהַחְכִּיר,lehaHk(i)R
לַחְכּוֹר,laHk(o)R
לַחְלוֹב,laHl(o)v
לְהַחְלִיד,lehaHl(i)d
לְחַלְחֵל,leHalH(e)l
לְהִתְחַלְחֵל,lehitHalH(e)l
לְהַחְלִיט,lehaHl(i)t
לְחַלֵּט,leHal(e)t
לַחְלוֹט,laHl(o)t
לְחַלְטֵר,leHalt(e)R
לַחֲלוֹת,laHal(o)t
לְחַלּוֹת,leHal(o)t
לְהִתְחַלּוֹת,lehitHal(o)t
לְחַלֵּל,leHal(e)l
לְהָחֵל,lehaH(e)l
לְהַחְלִים,lehaHl(i)m
לַחְלוֹם,laHl(o)m
לְהַחֲלִיף,lehaHal(i)f
לְהִתְחַלֵּף,lehitHal(e)f
לַחֲלוֹף,laHal(o)f
לַחֲלוֹץ,laHal(o)tz
לְהֵיחָלֵץ,leheHal(e)tz
לְחַלֵּץ,leHal(e)tz
לְחַלֵּק,leHal(e)k
לְהַחֲלִיק,lehaHal(i)k
לַחֲלוֹק,laHal(o)k
לְהִתְחַלֵּק,lehitHal(e)k
לְהֵיחָלֵק,leheHal(e)k
לְהַחֲלִישׁ,lehaHal(i)x
לַחֲלוֹשׁ,laHal(o)x
לְהִתְחַלֵּשׁ,lehitHal(e)x
לְהֵיחָלֵשׁ,leheHal(e)x
לַחֲלוֹשׁ,laHal(o)x
לְהַחֲמִיא,lehaHam(i)
לַחְמוֹד,laHm(o)d
לַחְמוֹל,laHm(o)l
לְחַמֵּם,leHam(e)m
לְהִתְחַמֵּם,lehitHam(e)m
לְהַחֲמִיץ,lehaHam(i)tz
לַחְמוֹץ,laHm(o)tz
לְהִתְחַמֵּץ,lehitHam(e)tz
לְחַמְצֵן,leHamtz(e)n
לְהִתְחַמְצֵן,lehitHamtz(e)n
לְהִתְחַמֵּק,lehitHam(e)k
לַחְמוֹק,laHm(o)k
לְהַחְמִיר,lehaHm(i)R
לְהִתְחַמֵּשׁ,lehitHam(e)x
לְהִתְחַנְחֵן,lehitHanH(e)n
לַחְנוֹט,laHn(o)t
לְהֵיחָנֵט,leheHan(e)t
לַחֲנוֹת,laHan(o)t
לְהַחֲנוֹת,lehaHan(o)t
לְחַנֵּךְ,leHan(e)H
לְהֵיחָנֵךְ,leheHan(e)H
לְהִתְחַנֵּךְ,lehitHan(e)H
לַחֲנוֹךְ,laHan(o)H
לְהִתְחַנֵּן,lehitHan(e)n
לָחוֹן,laH(o)n
מְחוּנָּן,meHun(a)n
לְהֵיחֵן,leheH(e)n
לְהִתְחַנֵּף,lehitHan(e)f
לְהַחֲנִיף,lehaHan(i)f
לַחֲנוֹק,laHan(o)k
לְהֵיחָנֵק,leheHan(e)k
לְהַחְנִיק,lehaHn(i)k
לְהִתְחַסֵּד,lehitHas(e)d
לַחֲסוֹת,laHas(o)t
לְהֵיחָסֵךְ,leheHas(e)H
לַחֲסוֹךְ,laHas(o)H
לְחַסֵּל,leHas(e)l
לְהִתְחַסֵּל,lehitHas(e)l
לְהֵיחָסֵם,leheHas(e)m
לַחְסוֹם,laHs(o)m
לְחַסֵּן,leHas(e)n
לְהִתְחַסֵּן,lehitHas(e)n
לְהִתְחַסֵּן,lehitHas(e)n
לְחַסְפֵּס,leHasp(e)s
לְהַחְסִיר,lehaHs(i)R
לַחְסוֹר,laHs(o)R
לְחַסֵּר,leHas(e)R
לְהֵיחָפֵז,leheHaf(e)z
לְחַפּוֹת,leHap(o)t
לַחְפּוֹן,laHp(o)n
לָחוֹף,laH(o)f
לְחוֹפֵף,leHof(e)f
לְהִתְחָפֵף,lehitHaf(e)f
לַחְפּוֹף,laHp(o)f
לַחְפּוֹף,laHp(o)f
לַחְפּוֹץ,laHp(o)tz
לַחְפּוֹר,laHp(o)R
לְהֵיחָפֵר,leheHaf(e)R
לְהִתְחַפֵּר,lehitHap(e)R
לְחַפֵּשׂ,leHap(e)s
לְהִתְחַפֵּשׂ,lehitHap(e)s
לַחְצוֹב,laHtz(o)v
לְהֵיחָצֵב,leheHatz(e)v
לַחֲצוֹת,laHatz(o)t
לְהֵיחָצוֹת,leheHatz(o)t
לְהַחְצִין,lehaHtz(i)n
לְהִתְחַצֵּף,lehitHatz(e)f
לַחְצוֹץ,laHtz(o)tz
לְחַצְצֵר,leHatzetz(e)R
לְחַקּוֹת,leHak(o)t
לְהִתְחַקּוֹת,lehitHak(o)t
לְחוֹקֵק,leHok(e)k
לְהֵיחָקֵק,leheHak(e)k
לַחְקוֹק,laHk(o)k
לַחְקוֹר,laHk(o)R
לְהֵיחָקֵר,leheHak(e)R
לְהֵיחָרֵב,leheHaR(e)v
לַחֲרוֹב,laHaR(o)v
לְהַחֲרִיב,lehaHaR(i)v
לְחַרְבֵּן,leHaRb(e)n
לְהִתְחַרְבֵּן,lehitHaRb(e)n
לַחֲרוֹג,laHaR(o)g
לַחֲרוֹד,laHaR(o)d
לְהֵיחָרֵד,leheHaR(e)d
לְהַחְרִיד,lehaHR(i)d
לַחֲרוֹז,laHaR(o)z
לְהֵיחָרֵז,leheHaR(e)z
לְהִתְחָרֵז,lehitHaR(e)z
לְחַרְחֵר,leHaRH(e)R
לַחֲרוֹט,laHaR(o)t
לְהֵיחָרֵט,leheHaR(e)t
לְהִתְחָרֵט,lehitHaR(e)t
לְחַרְטֵט,leHaRt(e)t
לְהִתְחָרוֹת,lehitHaR(o)t
לַחֲרוֹת,laHaR(o)t
לְהַחְרוֹת,lehaHR(o)t
לַחֲרוֹךְ,laHaR(o)H
לְהֵיחָרֵךְ,leheHaR(e)H
לְהַחֲרִים,lehaHaR(i)m
לְהַחֲרִיף,lehaHaR(i)f
לְחָרֵף,leHaR(e)f
לַחְרוֹף,laHR(o)f
לְהִתְחַרְפֵן,lehitHaRf(e)n
לְהֵיחָרֵץ,leheHaR(e)tz
לַחֲרוֹץ,laHaR(o)tz
לַחֲרוֹק,laHaR(o)k
לְחָרֵר,leHaR(e)R
לַחֲרוֹשׁ,laHaR(o)x
לְהַחֲרִישׁ,lehaHaR(i)x
לְהֵיחָרֵשׁ,leheHaR(e)x
לְהִתְחָרֵשׁ,lehitHaR(e)x
לַחֲרוֹת,laHaR(o)t
לַחְשׁוֹב,laHx(o)v
לְהֵיחָשֵׁב,leheHax(e)v
לְחַשֵּׁב,leHax(e)v
לְהַחְשִׁיב,lehaHx(i)v
לְהִתְחַשֵּׁב,lehitHax(e)v
לְהִתְחַשְׁבֵּן,lehitHaxb(e)n
לְחַשְׁבֵּן,leHaxb(e)n
לַחְשׁוֹד,laHx(o)d
לְהֵיחָשֵׁד,leheHax(e)d
לְהַחְשִׁיד,lehaHx(i)d
לְהַחֲשׁוֹת,lehaHax(o)t
לַחְשׁוֹךְ,laHx(o)H
לְהַחְשִׁיךְ,lehaHx(i)H
לְחַשֵּׁל,leHax(e)l
לְהִתְחַשֵּׁל,lehitHax(e)l
לְחַשְׁמֵל,leHaxm(e)l
לְהִתְחַשְׁמֵל,lehitHaxm(e)l
לְהֵיחָשֵׂף,leheHas(e)f
לַחֲשׂוֹף,laHas(o)f
לְחַשֵּׁק,leHax(e)k
לְהִתְחַשֵּׁק,lehitHax(e)k
לְהֵיחָשֵׁק,leheHax(e)k
לַחְשׁוֹק,laHx(o)k
לַחְשׁוֹשׁ,laHx(o)x
לַחְתּוֹךְ,laHt(o)H
לְהֵיחָתֵךְ,leheHat(e)H
לְחַתֵּךְ,leHat(e)H
לְחַתֵּל,leHat(e)l
לְהֵיחָתֵם,leheHat(e)m
לְהַחְתִּים,lehaHt(i)m
לַחְתּוֹם,laHt(o)m
לְחַתֵּן,leHat(e)n
לְהִתְחַתֵּן,lehitHat(e)n
לַחְתּוֹר,laHt(o)R
לְטַאְטֵא,letat(e)
לִטְבּוֹחַ,litb(o)aH
לְהִיטָּבֵחַ,lehitav(e)aH
לִטְבּוֹל,litb(o)l
לְהִיטָּבֵל,lehitav(e)l
לְהַטְבִּיל,lehatb(i)l
לִטְבּוֹעַ,litb(o)a
לְהִיטָּבֵעַ,lehitav(e)a
לְהַטְבִּיעַ,lehatb(i)a
לְהַטְבִּיעַ,lehatb(i)a
לְטַגֵּן,letag(e)n
לְהִיטַּגֵּן,lehitag(e)n
לְטַהֵר,letah(e)R
לִטְהוֹר,lith(o)R
לְהִיטָּהֵר,lehitah(e)R
לְהִיטַּהֵר,lehitah(e)R
לָטוּב,lat(u)v
לְהָטִיחַ,lehat(i)aH
לְטַווֵּחַ,letav(e)aH
לִטְווֹת,litv(o)t
לְהַטִּיל,lehat(i)l
לְהָטִיס,lehat(i)s
לָטוּס,lat(u)s
לִטְחוֹן,litH(o)n
לְטַייֵּב,letay(e)v
לְטַייֵּל,letay(e)l
לְטַכֵּס,letak(e)s
לְטַלֵּא,letal(e)
לְהַטְלִיא,lehatl(i)
לְטַלְגְּרֵף,letalgR(e)f
לְטַלְטֵל,letalt(e)l
לְהִיטַּלְטֵל,lehitalt(e)l
לְטַלֵּף,letal(e)f
לְטַלְפֵּן,letalp(e)n
לְטַמֵּא,letam(e)
לְהִיטָּמֵא,lehitam(e)
לִטְמוֹא,litm(o)
לְטַמְטֵם,letamt(e)m
לִטְמוֹן,litm(o)n
לְהִיטָּמֵן,lehitam(e)n
לְהַטְמִין,lehatm(i)n
לְהַטְמִיעַ,lehatm(i)a
לְהִיטָּמֵעַ,lehitam(e)a
לְטַנֵּף,letan(e)f
לִטְעוֹת,lit'(o)t
לְהַטְעוֹת,lehat'(o)t
לִטְעוֹם,lit'(o)m
לְהַטְעִים,lehat'(i)m
לְהַטְעִין,lehat'(i)n
לִטְעוֹן,lit'(o)n
לְהִיטָּעֵן,lehita'(e)n
לִטְפּוֹחַ,litp(o)aH
לְטַפֵּחַ,letap(e)aH
לְטַפְטֵף,letaft(e)f
לְטַפֵּל,letap(e)l
לְהִיטָּפֵל,lehitaf(e)l
לִטְפּוֹל,litp(o)l
לְטַפֵּס,letap(e)s
לִטְפּוֹף,litp(o)f
לְהַטְרִיד,lehatR(i)d
לְהַטְרִיחַ,lehatR(i)aH
לִטְרוֹחַ,litR(o)aH
לְטַרְטֵר,letaRt(e)R
לְהַטְרִיל,lehatR(i)l
לִטְרוֹף,litR(o)f
לְהִיטָּרֵף,lehitaR(e)f
לְהַטְרִיף,lehatR(i)f
לְטַרְפֵּד,letaRp(e)d
לְהִיטָּרֵק,lehitaR(e)k
לִטְרוֹק,litR(o)k
לְהִתְטַשְׁטֵשׁ,lehitaxt(e)x
לְטַשְׁטֵשׁ,letaxt(e)x
לְהִיטַּשְׁטֵשׁ,lehitaxt(e)x
לִיאוֹת,li'(o)t
לְהוֹאִיל,leho'(i)l
לְהִיווָּאֵשׁ,lehiva'(e)x
לְהִתְייָאֵשׁ,lehitya'(e)x
לְייַבֵּא,leyab(e)
לְייַבֵּב,leyab(e)v
לְהוֹבִיל,lehov(i)l
לְייַבֵּל,leyab(e)l
לְהִתְייַבֵּשׁ,lehityab(e)x
לִיבוֹשׁ,liv(o)x
לְייַבֵּשׁ,leyab(e)x
לְייַגֵּעַ,leyag(e)a
לְהִתְייַגֵּעַ,lehityag(e)a
יָגוֹר,yag(o)R
לְהִתְייַדֵּד,lehityad(e)d
לְהוֹדוֹת,lehod(o)t
לִידוֹת,lid(o)t
לְייַדּוֹת,leyad(o)t
לָדַעַת,lad(a)'at
לְהוֹדִיעַ,lehod(i)a
לְהִיווָּדֵעַ,lehivad(e)a
לְייַדֵּעַ,leyad(e)a
לְהִתְייַווֵּן,lehityav(e)n
לְהוֹזִיל,lehoz(i)l
לִיזוֹם,liz(o)m
לְהַזִּיעַ,lehaz(i)a
לְהִתְייַחֵד,lehityaH(e)d
לְייַחֵד,leyaH(e)d
לְייַחֵל,leyaH(e)l
לְהִתְייַחֵס,lehityaH(e)s
לְייַחֵס,leyaH(e)s
לְהֵיטִיב,lehet(i)v
לְהוֹכִיחַ,lehoH(i)aH
לְהִיווָּכֵחַ,lehivaH(e)aH
לוּכַל,luH(a)l
לָלֶדֶת,lal(e)det
לְהוֹלִיד,lehol(i)d
לְהִיווָּלֵד,lehival(e)d
לְהִתְייַלֵּד,lehityal(e)d
לְייַלֵּד,leyal(e)d
לְייַלֵּל,leyal(e)l
לְהֵימִין,lehem(i)n
לְהִתְייַמֵּר,lehityam(e)R
לְהוֹנוֹת,lehon(o)t
לְייַנֵּן,leyan(e)n
לְהֵינִיק,lehen(i)k
לִינוֹק,lin(o)k
לִיסוֹד,lis(o)d
לְהִיווָּסֵד,lehivas(e)d
לְייַסֵּד,leyas(e)d
יוֹסֵף,yos(e)f
לְהוֹסִיף,lehos(i)f
לְהִיווָּסֵף,lehivas(e)f
לְהִיתּוֹסֵף,lehitos(e)f
לְהִתְייַסֵּר,lehityas(e)R
לְייַסֵּר,leyas(e)R
לְהִיווָּעֵד,lehiva'(e)d
מוּעָד,mu'(a)d
לִיעוֹד,li'(o)d
לְהוֹעִיד,leho'(i)d
לְייַעֵד,leya'(e)d
לְהִיווָּעֵז,lehiva'(e)z
לְהוֹעִיל,leho'(i)l
לְייַעֵל,leya'(e)l
לִיעוֹף,li'(o)f
לָעוּץ,la'(u)tz
לְהִתְייַעֵץ,lehitya'(e)tz
לְהִיווָּעֵץ,lehiva'(e)tz
לְייַעֵץ,leya'(e)tz
לְהִתְייַפֵּחַ,lehityap(e)aH
לְייַפּוֹת,leyap(o)t
לִיפוֹת,lif(o)t
לְהִתְייַפְייֵף,lehityafy(e)f
לְהוֹפִיעַ,lehof(i)a
לָצֵאת,latz(e)t
לְהוֹצִיא,lehotz(i)
לְייַצֵּא,leyatz(e)
לְהִתְייַצֵּב,lehityatz(e)v
לְהַצִּיב,lehatz(i)v
נִיצָּב,nitz(a)v
לְייַצֵּב,leyatz(e)v
לְהַצִּיג,lehatz(i)g
לְייַצֵּג,leyatz(e)g
לְהַצִּיעַ,lehatz(i)a
לִיצוֹק,litz(o)k
מוּצָק,mutz(a)k
לְהִיווָּצֵק,lehivatz(e)k
לִיצוֹר,litz(o)R
לְהִיווָּצֵר,lehivatz(e)R
לְייַצֵּר,leyatz(e)R
לְהַצִּית,lehatz(i)t
לִיקוֹד,lik(o)d
לְהוֹקִיעַ,lehok(i)a
לִיקוֹץ,lik(o)tz
לְהִתְייַקֵּר,lehityak(e)R
לְהוֹקִיר,lehok(i)R
לִיקוֹר,lik(o)R
לְייַקֵּר,leyak(e)R
לִירוֹא,liR(o)
לְהִתְייָרֵא,lehityaR(e)
לְהוֹרִיד,lehoR(i)d
לָרֶדֶת,laR(e)det
לְייָרֵט,leyaR(e)t
לִירוֹט,liR(o)t
לִירוֹת,liR(o)t
לְהוֹרוֹת,lehoR(o)t
לְהִייָּרוֹת,lehiyaR(o)t
לִירוֹק,liR(o)k
לְהוֹרִיק,lehoR(i)k
לָרֶשֶׁת,laR(e)xet
לְהוֹרִישׁ,lehoR(i)x
לְהִיווָּרֵשׁ,lehivaR(e)x
לָשֶׁבֶת,lax(e)vet
לְהִתְייַשֵּׁב,lehityax(e)v
לְייַשֵּׁב,leyax(e)v
לְהוֹשִׁיב,lehox(i)v
לְהוֹשִׁיט,lehox(i)t
לְייַשֵּׂם,leyas(e)m
לִישׁוֹן,lix(o)n
לְהִתְייַשֵּׁן,lehityax(e)n
לְהוֹשִׁיעַ,lehox(i)a
לְהִיווָּשֵׁעַ,lehivax(e)a
לְהִתְייַשֵּׁר,lehityax(e)R
לְייַשֵּׁר,leyax(e)R
לְהֵישִׁיר,lehex(i)R
לִיתוֹם,lit(o)m
לְהִתְייַתֵּם,lehityat(e)m
לְהוֹתִיר,lehot(i)R
לְהִיווָּתֵר,lehivat(e)R
לְייַתֵּר,leyat(e)R
לִכְאוֹב,liH'(o)v
לְהַכְאִיב,lehaH'(i)v
לְהִתְכַּבֵּד,lehitkab(e)d
לְהַכְבִּיד,lehaHb(i)d
לִכְבּוֹד,liHb(o)d
לְכַבֵּד,leHab(e)d
לְכַבּוֹת,leHab(o)t
לְהִיכָּבוֹת,lehikav(o)t
לִכְבּוֹת,liHb(o)t
לִכְבּוֹל,liHb(o)l
לְהִיכָּבֵל,lehikav(e)l
לְכַבֵּס,leHab(e)s
לְהַכְבִּיר,lehaHb(i)R
לְהִיכָּבֵשׁ,lehikav(e)x
לִכְבּוֹשׁ,liHb(o)x
לְהִתְכַּדֵּר,lehitkad(e)R
לְכַדְרֵר,leHadR(e)R
לִכְהוֹת,liHh(o)t
לְהִתְכַּהוֹת,lehitkah(o)t
לְכַהֵן,leHah(e)n
לִכְווֹת,liHv(o)t
לְהִיכָּווֹת,lehikav(o)t
לְהָכִיל,lehaH(i)l
לְהָכִין,lehaH(i)n
לְכַווֵּן,leHav(e)n
לְכוֹנֵן,leHon(e)n
לְהִתְכַּווֵּן,lehitkav(e)n
לְהִתְכּוֹנֵן,lehitkon(e)n
לְהִיכּוֹן,lehik(o)n
לְהַכְווִין,lehaHv(i)n
לְכַווֵּץ,leHav(e)tz
לְהִתְכַּווֵּץ,lehitkav(e)tz
לְכַזֵּב,leHaz(e)v
לְהִיכָּזֵב,lehikaz(e)v
לְהַכְזִיב,lehaHz(i)v
לְהִיכָּחֵד,lehikaH(e)d
לְהַכְחִיד,lehaH(i)d
לְכַחְכֵּחַ,leHaHk(e)aH
לְהַכְחִיל,lehaH(i)l
לְהַכְחִישׁ,lehaH(i)x
לְהִתְכַּחֵשׁ,lehitkaH(e)x
לְכַחֵשׁ,leHaH(e)x
לְכַייֵּל,leHay(e)l
לְכַייֵּס,leHay(e)s
לְכַייֵּף,leHay(e)f
לְכַכֵּב,leHak(e)v
לִכְלוֹא,liHl(o)
לְהִיכָּלֵא,lehikal(e)
לְהַכְלִיב,lehaHl(i)v
לְכַלּוֹת,leHal(o)t
לִכְלוֹת,liHl(o)t
לְהִתְכַּלּוֹת,lehitkal(o)t
לְהִתְכַּלְכֵּל,lehitkalk(e)l
לְכַלְכֵּל,leHalk(e)l
לְהִיכָּלֵל,lehikal(e)l
לְהַכְלִיל,lehaHl(i)l
לִכְלוֹל,liHl(o)l
לְהַכְלִים,lehaHl(i)m
לְהִיכָּלֵם,lehikal(e)m
לִכְמוֹהַּ,liHm(o)a
לְכַּמֵּת,lekam(e)t
לְכַנּוֹת,leHan(o)t
לְהִתְכַּנּוֹת,lehitkan(o)t
לְהִיכָּנֵס,lehikan(e)s
לְהַכְנִיס,lehaHn(i)s
לְכַנֵּס,leHan(e)s
לְהִתְכַּנֵּס,lehitkan(e)s
לְהַכְנִיעַ,lehaHn(i)a
לְהִיכָּנֵעַ,lehikan(e)a
לְכַסֵּחַ,leHas(e)aH
לְכַסּוֹת,leHas(o)t
לְהִתְכַּסּוֹת,lehitkas(o)t
לִכְסוֹס,liHs(o)s
לְהַכְסִיף,lehaHs(i)f
לְהִיכָּסֵף,lehikas(e)f
לִכְעוֹס,liH'(o)s
לְהַכְעִיס,lehaH'(i)s
לְכַעֵר,leHa'(e)R
לִכְפּוֹת,liHp(o)t
לְהִיכָּפוֹת,lehikaf(o)t
לִכְפּוֹל,liHp(o)l
לְהַכְפִּיל,lehaHp(i)l
לְהַכְפִיף,lehaHf(i)f
לְכוֹפֵף,leHof(e)f
לְהִתְכּוֹפֵף,lehitkof(e)f
לָכוֹף,laH(o)f
לְהִיכָּפֵף,lehikaf(e)f
לִכְפּוֹר,liHp(o)R
לְכַפֵּר,leHap(e)R
לְהַכְפִּישׁ,lehaHp(i)x
לִכְפּוֹת,liHp(o)t
לְהִיכָּפֵת,lehikaf(e)t
לְכַפְתֵּר,leHaft(e)R
לְהִתְכַּרְבֵּל,lehitkaRb(e)l
לְהַכְרִיז,lehaHR(i)z
לְהַכְרִיחַ,lehaHR(i)aH
לִכְרוֹת,liHR(o)t
לְהִיכָּרוֹת,lehikaR(o)t
לִכְרוֹךְ,liHR(o)H
לְהִיכָּרֵךְ,lehikaR(e)H
לְכַרְכֵּר,leHaRk(e)R
לְכַרְסֵם,leHaRs(e)m
לְהַכְרִיעַ,lehaHR(i)a
לִכְרוֹעַ,liHR(o)a
לְהִיכָּרֵת,lehikaR(e)t
לִכְרוֹת,liHR(o)t
לְהַכְרִית,lehaHR(i)t
לְכַשְׁכֵּשׁ,leHaxk(e)x
לְהִיכָּשֵׁל,lehikax(e)l
לְהַכְשִׁיל,lehaHx(i)l
לִכְשׁוֹל,liHx(o)l
לְכַשֵּׁף,leHax(e)f
לְהַכְשִׁיר,lehaHx(i)R
לִכְשׁוֹר,liHx(o)R
לִכְתּוֹב,liHt(o)v
לְהִיכָּתֵב,lehikat(e)v
לְהַכְתִּיב,lehaHt(i)v
לְהִתְכַּתֵּב,lehitkat(e)v
לְכַתֵּב,leHat(e)v
לְהַכְתִּים,lehaHt(i)m
לְכַתֵּר,leHat(e)R
לְהַכְתִּיר,lehaHt(i)R
לְהִתְכַּתֵּשׁ,lehitkat(e)x
לִכְתּוֹשׁ,liHt(o)x
לִכְתּוֹת,liHt(o)t
לְהַלְאוֹת,lehal'(o)t
לִלְאוֹת,lil'(o)t
לְהַלְאִים,lehal'(i)m
לְלַבֵּב,lelab(e)v
לְהִתְלַבֵּט,lehitlab(e)t
לְלַבּוֹת,lelab(o)t
לְלַבְלֵב,lelavl(e)v
לְלַבֵּן,lelab(e)n
לְהַלְבִּין,lehalb(i)n
לִלְבּוֹשׁ,lilb(o)x
לְהִתְלַבֵּשׁ,lehitlab(e)x
לְהַלְבִּישׁ,lehalb(i)x
לְהִילָּבֵשׁ,lehilav(e)x
לְלַגְלֵג,lelagl(e)g
לִלְגּוֹם,lilg(o)m
לְהַלְהִיב,lehalh(i)v
לְהִתְלַהֵב,lehitlah(e)v
לְהִילָּהֵב,lehilah(e)v
לִלְהוֹב,lilh(o)v
לִלְהוֹט,lilh(o)t
